     0: >>> E[0:00:00]-R[?]: Return=      -1.2, Steps=30.0, Features = 1000
    75: E[0:00:29]-R[0:00:48]: Return=      -900, Steps=  15, Features = 1000
    90: E[0:00:35]-R[0:00:43]: Return=      -100, Steps=  15, Features = 1000
   100: >>> E[0:00:39]-R[0:00:39]: Return=         0, Steps=15.0, Features = 1000
   105: E[0:00:41]-R[0:00:37]: Return=      -100, Steps=  15, Features = 1000
   120: E[0:00:47]-R[0:00:31]: Return=     -1500, Steps=  15, Features = 1000
   135: E[0:00:53]-R[0:00:25]: Return=     -1500, Steps=  15, Features = 1000
   150: E[0:00:59]-R[0:00:20]: Return=     -1500, Steps=  15, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=15.0, Features = 1000
    15: E[0:00:05]-R[0:01:02]: Return=      -700, Steps=  15, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=50.0, Features = 1000
    50: E[0:00:17]-R[0:00:51]: Return=     -2400, Steps=  50, Features = 1000
   100: E[0:00:34]-R[0:00:34]: Return=     -1400, Steps=  50, Features = 1000
   100: >>> E[0:00:34]-R[0:00:34]: Return=         0, Steps=50.0, Features = 1000
   150: E[0:00:51]-R[0:00:17]: Return=      1400, Steps=  50, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=50.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=50.0, Features = 1000
    50: E[0:00:18]-R[0:02:03]: Return=     -4400, Steps=  50, Features = 1000
   100: E[0:00:35]-R[0:01:45]: Return=     -4000, Steps=  50, Features = 1000
   150: E[0:00:53]-R[0:01:28]: Return=     -1600, Steps=  50, Features = 1000
   200: E[0:01:12]-R[0:01:12]: Return=     -3000, Steps=  50, Features = 1000
   200: >>> E[0:01:12]-R[0:01:12]: Return=         0, Steps=50.0, Features = 1000
   250: E[0:01:30]-R[0:00:54]: Return=     -2600, Steps=  50, Features = 1000
   300: E[0:01:48]-R[0:00:36]: Return=     -4200, Steps=  50, Features = 1000
   350: E[0:02:07]-R[0:00:18]: Return=     -4400, Steps=  50, Features = 1000
   400: E[0:02:26]-R[0:00:00]: Return=     -3200, Steps=  50, Features = 1000
   400: >>> E[0:02:26]-R[0:00:00]: Return=         0, Steps=50.0, Features = 1000
Total Experiment Duration 0:02:26
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=50.0, Features = 1000
    50: E[0:00:19]-R[0:02:10]: Return=     -1800, Steps=  50, Features = 1000
   100: E[0:00:37]-R[0:01:51]: Return=     -3200, Steps=  50, Features = 1000
   150: E[0:00:55]-R[0:01:32]: Return=     -3000, Steps=  50, Features = 1000
   200: E[0:01:12]-R[0:01:12]: Return=     -3800, Steps=  50, Features = 1000
   200: >>> E[0:01:12]-R[0:01:12]: Return=         0, Steps=50.0, Features = 1000
   250: E[0:01:30]-R[0:00:54]: Return=     -4000, Steps=  50, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=50.0, Features = 1000
    50: E[0:00:20]-R[0:02:18]: Return=     -2400, Steps=  50, Features = 1000
   100: E[0:00:39]-R[0:01:57]: Return=     -2200, Steps=  50, Features = 1000
   150: E[0:00:59]-R[0:01:38]: Return=     -3600, Steps=  50, Features = 1000
   200: E[0:01:17]-R[0:01:17]: Return=     -1600, Steps=  50, Features = 1000
   200: >>> E[0:01:17]-R[0:01:17]: Return=         0, Steps=50.0, Features = 1000
   250: E[0:01:36]-R[0:00:58]: Return=     -1600, Steps=  50, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=50.0, Features = 1000
    50: E[0:00:16]-R[0:01:53]: Return=     -2600, Steps=  50, Features = 1000
   100: E[0:00:33]-R[0:01:38]: Return=     -1800, Steps=  50, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=50.0, Features = 1000
   200: >>> E[0:00:00]-R[0:00:00]: Return=         0, Steps=50.0, Features = 1000
   400: >>> E[0:00:01]-R[0:00:00]: Return=         0, Steps=50.0, Features = 1000
Total Experiment Duration 0:00:01
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=50.0, Features = 1000
   200: >>> E[0:00:00]-R[0:00:00]: Return=         0, Steps=50.0, Features = 1000
   400: >>> E[0:00:01]-R[0:00:00]: Return=         0, Steps=50.0, Features = 1000
Total Experiment Duration 0:00:01
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=50.0, Features = 1000
   200: >>> E[0:00:00]-R[0:00:00]: Return=         0, Steps=50.0, Features = 1000
   400: >>> E[0:00:01]-R[0:00:00]: Return=         0, Steps=50.0, Features = 1000
Total Experiment Duration 0:00:01
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=50.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=         0, Steps=50.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=   -0.1757, Steps=60.0, Features = 1000
    60: E[0:00:22]-R[0:02:06]: Return=     -3100, Steps=  60, Features = 1000
   120: E[0:00:44]-R[0:01:43]: Return=    -100.2, Steps=  60, Features = 1000
   180: E[0:01:07]-R[0:01:22]: Return=     -2600, Steps=  60, Features = 1000
   200: >>> E[0:01:15]-R[0:01:15]: Return=  -0.05559, Steps=60.0, Features = 1000
   240: E[0:01:30]-R[0:01:00]: Return=    -600.2, Steps=  60, Features = 1000
   298: E[0:01:51]-R[0:00:38]: Return=     599.9, Steps=  58, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=   -0.1851, Steps=60.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=   -0.1869, Steps=60.0, Features = 1000
    59: E[0:00:21]-R[0:02:02]: Return=     -5400, Steps=  59, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=   -0.1937, Steps=10.0, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=   -0.1548, Steps=10.0, Features = 1000
    10: E[0:00:03]-R[0:02:03]: Return=    -500.2, Steps=  10, Features = 1000
    20: E[0:00:06]-R[0:01:53]: Return=   -0.2779, Steps=  10, Features = 1000
    30: E[0:00:10]-R[0:01:58]: Return=    -600.2, Steps=  10, Features = 1000
    40: E[0:00:13]-R[0:01:56]: Return=    -400.2, Steps=  10, Features = 1000
    50: E[0:00:16]-R[0:01:50]: Return=    -400.1, Steps=  10, Features = 1000
    60: E[0:00:19]-R[0:01:48]: Return=    -300.1, Steps=  10, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=    -0.149, Steps=10.0, Features = 1000
    10: E[0:00:03]-R[0:01:57]: Return=    -500.2, Steps=  10, Features = 1000
    20: E[0:00:06]-R[0:01:51]: Return=   -0.2779, Steps=  10, Features = 1000
    30: E[0:00:10]-R[0:01:58]: Return=    -600.2, Steps=  10, Features = 1000
    40: E[0:00:13]-R[0:01:55]: Return=    -400.2, Steps=  10, Features = 1000
    50: E[0:00:16]-R[0:01:50]: Return=    -400.1, Steps=  10, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=   -0.2932, Steps=10.0, Features = 1000
    10: E[0:00:03]-R[0:01:43]: Return=   -0.2831, Steps=  10, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=  -0.06036, Steps=10.0, Features = 1000
    10: E[0:00:03]-R[0:02:06]: Return=     199.9, Steps=  10, Features = 1000
    20: E[0:00:07]-R[0:02:08]: Return=     299.9, Steps=  10, Features = 1000
    30: E[0:00:09]-R[0:01:57]: Return=   -0.2817, Steps=  10, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=  -0.06611, Steps=20.0, Features = 1000
    20: E[0:00:05]-R[0:01:43]: Return=    -200.1, Steps=  20, Features = 1000
    40: E[0:00:10]-R[0:01:26]: Return=   -0.4107, Steps=  20, Features = 1000
    60: E[0:00:16]-R[0:01:28]: Return=      1100, Steps=  20, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=     -2800, Steps=20.0, Features = 1000
    20: E[0:00:05]-R[0:01:42]: Return=     -1000, Steps=  20, Features = 1000
    40: E[0:00:09]-R[0:01:25]: Return=   -0.4026, Steps=  20, Features = 1000
    60: E[0:00:16]-R[0:01:29]: Return=    -300.1, Steps=  20, Features = 1000
    80: E[0:00:21]-R[0:01:24]: Return=    -500.1, Steps=  20, Features = 1000
   100: E[0:00:27]-R[0:01:21]: Return=      -500, Steps=  20, Features = 1000
   120: E[0:00:33]-R[0:01:18]: Return=      -200, Steps=  20, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=    -29.99, Steps=20.0, Features = 1000
    20: E[0:00:04]-R[0:01:21]: Return=    -27.99, Steps=  20, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=    -211.6, Steps=20.0, Features = 1000
    20: E[0:00:10]-R[0:03:12]: Return=    -34.83, Steps=  20, Features = 1000
    40: E[0:00:16]-R[0:02:23]: Return=   0.03224, Steps=  20, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=    -183.4, Steps=20.0, Features = 1000
    20: E[0:00:05]-R[0:01:26]: Return=    -211.6, Steps=  20, Features = 1000
    40: E[0:00:07]-R[0:01:07]: Return=    0.0343, Steps=  20, Features = 1000
    60: E[0:00:11]-R[0:01:04]: Return=    -84.63, Steps=  20, Features = 1000
    80: E[0:00:16]-R[0:01:03]: Return=    -197.5, Steps=  20, Features = 1000
   100: E[0:00:18]-R[0:00:55]: Return=   0.03168, Steps=  20, Features = 1000
   120: E[0:00:23]-R[0:00:53]: Return=    -155.2, Steps=  20, Features = 1000
   140: E[0:00:27]-R[0:00:51]: Return=    -268.1, Steps=  20, Features = 1000
   160: E[0:00:32]-R[0:00:47]: Return=      -127, Steps=  20, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=    -211.6, Steps=20.0, Features = 1000
    20: E[0:00:06]-R[0:01:48]: Return=    -34.54, Steps=  20, Features = 1000
    40: E[0:00:10]-R[0:01:29]: Return=   0.03228, Steps=  20, Features = 1000
    60: E[0:00:15]-R[0:01:26]: Return=    0.0333, Steps=  20, Features = 1000
    80: E[0:00:19]-R[0:01:16]: Return=   0.03234, Steps=  20, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=    -211.6, Steps=20.0, Features = 1000
    20: E[0:00:06]-R[0:01:45]: Return=    -21.01, Steps=  20, Features = 1000
    40: E[0:00:10]-R[0:01:26]: Return=   0.03263, Steps=  20, Features = 1000
    60: E[0:00:15]-R[0:01:24]: Return=   0.03331, Steps=  20, Features = 1000
    80: E[0:00:19]-R[0:01:16]: Return=   0.03178, Steps=  20, Features = 1000
   100: E[0:00:23]-R[0:01:09]: Return=   0.02852, Steps=  20, Features = 1000
   120: E[0:00:29]-R[0:01:08]: Return=    -7.186, Steps=  20, Features = 1000
   140: E[0:00:35]-R[0:01:06]: Return=    -28.22, Steps=  20, Features = 1000
   160: E[0:00:41]-R[0:01:02]: Return=    -14.37, Steps=  20, Features = 1000
   180: E[0:00:47]-R[0:00:57]: Return=   0.01929, Steps=  20, Features = 1000
   200: E[0:00:52]-R[0:00:52]: Return=    -55.84, Steps=  20, Features = 1000
   200: >>> E[0:00:52]-R[0:00:52]: Return=    -155.2, Steps=20.0, Features = 1000
   220: E[0:00:58]-R[0:00:47]: Return=    -6.896, Steps=  20, Features = 1000
   240: E[0:01:04]-R[0:00:42]: Return=    -28.49, Steps=  20, Features = 1000
   260: E[0:01:09]-R[0:00:37]: Return=    -35.12, Steps=  20, Features = 1000
   280: E[0:01:15]-R[0:00:32]: Return=    -20.72, Steps=  20, Features = 1000
   300: E[0:01:19]-R[0:00:26]: Return=   0.03257, Steps=  20, Features = 1000
   320: E[0:01:26]-R[0:00:21]: Return=    -35.69, Steps=  20, Features = 1000
   340: E[0:01:31]-R[0:00:16]: Return=    -7.188, Steps=  20, Features = 1000
   360: E[0:01:37]-R[0:00:11]: Return=   0.03164, Steps=  20, Features = 1000
   380: E[0:01:42]-R[0:00:05]: Return=    -14.11, Steps=  20, Features = 1000
   400: E[0:01:47]-R[0:00:00]: Return=   0.03431, Steps=  20, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=    -197.5, Steps=20.0, Features = 1000
    20: E[0:00:05]-R[0:01:42]: Return=    -34.54, Steps=  20, Features = 1000
    40: E[0:00:09]-R[0:01:23]: Return=   0.03272, Steps=  20, Features = 1000
    60: E[0:00:14]-R[0:01:21]: Return=    0.0334, Steps=  20, Features = 1000
    80: E[0:00:18]-R[0:01:14]: Return=   0.03226, Steps=  20, Features = 1000
   100: E[0:00:22]-R[0:01:06]: Return=   0.02826, Steps=  20, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=    -211.6, Steps=20.0, Features = 1000
    20: E[0:00:06]-R[0:01:56]: Return=    -34.54, Steps=  20, Features = 1000
    40: E[0:00:11]-R[0:01:35]: Return=   0.03224, Steps=  20, Features = 1000
     0: >>> E[0:00:00]-R[?]: Return=    -211.6, Steps=20.0, Features = 1000
    20: E[0:00:05]-R[0:01:42]: Return=    -34.54, Steps=  20, Features = 1000
    40: E[0:00:09]-R[0:01:25]: Return=   0.03246, Steps=  20, Features = 1000
